"id","code","name","date","status","substitute"
"account_italian_banks_abi_1000",1000,"BANCA D'ITALIA","2013-02-28",0,0
"account_italian_banks_abi_1002",1002,"BANCA D'ITALIA","2013-02-28",0,0
"account_italian_banks_abi_1005",1005,"B.CA NAZIONALE DEL LAVORO   SPA","2013-02-28",0,0
"account_italian_banks_abi_1010",1010,"BANCO DI NAPOLI S.P.A.","2013-02-28",0,0
"account_italian_banks_abi_1015",1015,"BANCO DI SARDEGNA SPA","2013-02-28",0,0
"account_italian_banks_abi_1020",1020,"BANCO DI SICILIA SPA","2013-02-28",1,2008
"account_italian_banks_abi_1025",1025,"SANPAOLO-IMI S.P.A.","2013-02-28",0,0
"account_italian_banks_abi_1030",1030,"MONTE DEI PASCHI DI SIENA SPA","2013-02-28",0,0
"account_italian_banks_abi_2002",2002,"B.CA COMMERCIALE ITALIANA","2013-02-28",1,3069
"account_italian_banks_abi_2005",2005,"BANCO DI ROMA","2013-02-28",1,3002
"account_italian_banks_abi_2008",2008,"BANCA UNICREDIT SPA","2013-02-28",0,0
"account_italian_banks_abi_3000",3000,"ABAXBANK SPA","2013-02-28",1,3032
"account_italian_banks_abi_3001",3001,"BANCO AMBROSIANO VENETO","2013-02-28",1,3069
"account_italian_banks_abi_3002",3002,"BANCA DI ROMA SPA","2013-02-28",1,2008
"account_italian_banks_abi_3003",3003,"ABN AMRO BANK N.V.  -  MILANO","2013-02-28",0,0
"account_italian_banks_abi_3004",3004,"AMERICAN SERVICE BANK","2013-02-28",1,3296
"account_italian_banks_abi_3005",3005,"AMERICAN EXPRESS BANK LTD","2013-02-28",0,0
"account_italian_banks_abi_3006",3006,"EUROPE ARAB BANK PLC","2013-02-28",0,0
"account_italian_banks_abi_3007",3007,"ABBEY NATIONAL PLC","2013-02-28",1,3198
"account_italian_banks_abi_3008",3008,"BANCA AGR. CALTANISSETTA","2013-02-28",1,3384
"account_italian_banks_abi_3009",3009,"FCE BANK PLC","2013-02-28",0,0
"account_italian_banks_abi_3011",3011,"HYPO ALPE ADRIA BANK S.P.A.","2013-02-28",0,0
"account_italian_banks_abi_3012",3012,"BANCA AGRARIA DI MARSALA","2013-02-28",1,3233
"account_italian_banks_abi_3013",3013,"UGBI BANK UNITED GARANTI BANK INT.NV","2013-02-28",0,0
"account_italian_banks_abi_3014",3014,"BANCA DEI LAGHI SPA","2013-02-28",1,3032
"account_italian_banks_abi_3015",3015,"FINECOBANK  BANCA FINECO S.P.A.","2013-02-28",0,0
"account_italian_banks_abi_3017",3017,"INVEST BANCA SPA","2013-02-28",0,0
"account_italian_banks_abi_3018",3018,"NOVA LJUBLIANSKA BANKA D.D.","2013-02-28",0,0
"account_italian_banks_abi_3019",3019,"CREDITO SICILIANO SPA","2013-02-28",0,0
"account_italian_banks_abi_3020",3020,"B.CA AGRIC. NORD CALABRIA","2013-02-28",1,2008
"account_italian_banks_abi_3021",3021,"HSBC BANK PLC MILANO","2013-02-28",0,0
"account_italian_banks_abi_3022",3022,"CREDIT FONCIER DE FRANCE","2013-02-28",1,5650
"account_italian_banks_abi_3023",3023,"BANCA WOOLWICH","2013-02-28",1,3051
"account_italian_banks_abi_3024",3024,"BANCA AGRIC. CACCIAGUERRA","2013-02-28",1,3480
"account_italian_banks_abi_3025",3025,"BANCA PROFILO SPA","2013-02-28",0,0
"account_italian_banks_abi_3026",3026,"BANCA ITALEASE S.P.A.","2013-02-28",0,0
"account_italian_banks_abi_3027",3027,"AREA BANCA SPA","2013-02-28",1,5630
"account_italian_banks_abi_3028",3028,"DEPFA - DEUTSCHE PFANDBRIEFBANK","2013-02-28",1,3315
"account_italian_banks_abi_3029",3029,"MERRYL LYNCH INTERNATIONAL BANK LTD","2013-02-28",0,0
"account_italian_banks_abi_3030",3030,"DEXIA CREDIOP SPA","2013-02-28",0,0
"account_italian_banks_abi_3031",3031,"BANCA DI BERGAMO SPA","2013-02-28",1,5548
"account_italian_banks_abi_3032",3032,"CREDITO EMILIANO SPA","2013-02-28",0,0
"account_italian_banks_abi_3033",3033,"SALOMOM BROTHERS A.G.","2013-02-28",2,0
"account_italian_banks_abi_3034",3034,"B.CA AGRIC.COMM.IST.BANC.SAMMARINESE","2013-02-28",0,0
"account_italian_banks_abi_3035",3035,"BANCA DEL GARDA SPA","2013-02-28",1,5418
"account_italian_banks_abi_3036",3036,"B.AGR. CRED.RISP. MARSALA","2013-02-28",1,3233
"account_italian_banks_abi_3037",3037,"PARTNER BANK AG","2013-02-28",0,0
"account_italian_banks_abi_3038",3038,"BANCA AGRICOLA ETNEA","2013-02-28",1,5040
"account_italian_banks_abi_3039",3039,"BANCA AGRICOLA SALENTINA","2013-02-28",1,3456
"account_italian_banks_abi_3040",3040,"CREDIT SUISSE","2013-02-28",0,0
"account_italian_banks_abi_3041",3041,"U. B. S. ITALIA SPA","2013-02-28",0,0
"account_italian_banks_abi_3042",3042,"CARIMONTE BANCA S.P.A.","2013-02-28",1,3556
"account_italian_banks_abi_3043",3043,"B.INTERM. INVEST. E GEST. SPA","2013-02-28",0,0
"account_italian_banks_abi_3044",3044,"BANCA AGRICOLA MILANESE","2013-02-28",1,5584
"account_italian_banks_abi_3045",3045,"BANCA AKROS SPA","2013-02-28",0,0
"account_italian_banks_abi_3046",3046,"BANCA AMADEO","2013-02-28",1,5428
"account_italian_banks_abi_3047",3047,"BANCA CAPASSO ANTONIO","2013-02-28",0,0
"account_italian_banks_abi_3048",3048,"BANCA DEL PIEMONTE SPA","2013-02-28",0,0
"account_italian_banks_abi_3049",3049,"BANCA SELLA SUD ARDITI GALATI SPA","2013-02-28",1,3268
"account_italian_banks_abi_3051",3051,"BARCLAYS BANK PLC","2013-02-28",0,0
"account_italian_banks_abi_3052",3052,"BANCA BELINZAGHI","2013-02-28",1,3032
"account_italian_banks_abi_3053",3053,"BANCAPERTA SPA","2013-02-28",1,5216
"account_italian_banks_abi_3054",3054,"BANCA UCB SPA","2013-02-28",0,0
"account_italian_banks_abi_3055",3055,"BAYRISCHE LANDESBANK GIROZENTRALE","2013-02-28",0,0
"account_italian_banks_abi_3056",3056,"BANCA BRIANTEA SPA","2013-02-28",1,5584
"account_italian_banks_abi_3057",3057,"MERRILL LYNCH INTERNATIONAL BANK LTD","2013-02-28",0,0
"account_italian_banks_abi_3058",3058,"CHEBANCA! S.P.A.","2013-02-28",0,0
"account_italian_banks_abi_3059",3059,"BANCA CREDITO SARDO SPA","2013-02-28",0,0
"account_italian_banks_abi_3060",3060,"BANCA BRIGNONE SPA","2013-02-28",1,5428
"account_italian_banks_abi_3061",3061,"CITIBANK INTERNATIONAL PLC","2013-02-28",0,0
"account_italian_banks_abi_3062",3062,"BANCA MEDIOLANUM SPA","2013-02-28",0,0
"account_italian_banks_abi_3063",3063,"COMPAGNIE BANCAIRE","2013-02-28",1,3479
"account_italian_banks_abi_3064",3064,"BANCA SELLA NORDEST BOVIO CALDERARI","2013-02-28",1,3268
"account_italian_banks_abi_3065",3065,"BANCA BOVIO","2013-02-28",1,3064
"account_italian_banks_abi_3067",3067,"BANCA CARIME SPA","2013-02-28",0,0
