id,code,parent_id/id,name,user_type/id,type,reconcile,child_consol_ids/id
acc_reg_0,0A,,CONTI DI EPILOGO,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_000,000,acc_reg_0,CONTI DI EPILOGO,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_00000,00000,acc_reg_000,CONTI DI EPILOGO,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_0000000,0000000,acc_reg_00000,Conti di epilogo,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_000000001,000000001,acc_reg_0000000,Stato Patrimoniale di apertura,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_00000000101,00000000101,acc_reg_000000001,Stato Patrimoniale di apertura,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_000000002,000000002,acc_reg_0000000,Stato Patrimoniale di chiusura,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_00000000202,00000000202,acc_reg_000000002,Stato Patrimoniale di chiusura,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_000000003,000000003,acc_reg_0000000,Conto Economico,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_00000000303,00000000303,acc_reg_000000003,Conto Economico,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_1,1,acc_reg_0,ATTIVO,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_101,101,acc_reg_1,IMMOBILIZZAZIONI,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_10101,10101,acc_reg_101,IMMOBILIZZAZIONI IMMATERIALI,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_1010101,1010101,acc_reg_10101,Costi di impianto e di ampliamento (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_101010101,101010101,acc_reg_1010101,Costi di impianto e di ampliamento,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101010101,10101010101,acc_reg_101010101,Costi di impianto e di ampliamento,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_101010102,101010102,acc_reg_1010101,F.do Amm.to costi di impianto e di ampliamento,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101010202,10101010202,acc_reg_101010102,F.do Amm.to costi di impianto e di ampliamento,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_1010102,1010102,acc_reg_10101,Costi di ricerca e sviluppo (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_101010201,101010201,acc_reg_1010102,Costi di ricerca e sviluppo,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101020101,10101020101,acc_reg_101010201,Costi di ricerca e sviluppo,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_101010202,101010202,acc_reg_1010102,F.do Amm.to costi di ricerca e sviluppo,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101020202,10101020202,acc_reg_101010202,F.do Amm.to costi di ricerca e sviluppo,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_1010103,1010103,acc_reg_10101,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_101010301,101010301,acc_reg_1010103,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101030101,10101030101,acc_reg_101010301,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_101010302,101010302,acc_reg_1010103,F.do Amm.to diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101030202,10101030202,acc_reg_101010302,F.do Amm.to diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_1010104,1010104,acc_reg_10101,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_101010401,101010401,acc_reg_1010104,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101040101,10101040101,acc_reg_101010401,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_101010402,101010402,acc_reg_1010104,F.do Amm.to diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101040202,10101040202,acc_reg_101010402,F.do Amm.to diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_1010105,1010105,acc_reg_10101,Immobilizzazioni immateriali in corso e acconti,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_101010501,101010501,acc_reg_1010105,Immobilizzazioni immateriali in corso e acconti,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101050101,10101050101,acc_reg_101010501,Immobilizzazioni immateriali in corso e acconti,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_1010106,1010106,acc_reg_10101,"Concessioni, licenze, marchi e diritti simili (al netto del F.do Amm.to)",l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_101010601,101010601,acc_reg_1010106,"Concessioni, licenze, marchi e diritti simili",l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101060101,10101060101,acc_reg_101010601,"Concessioni, licenze, marchi e diritti simili",l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_101010602,101010602,acc_reg_1010106,"F.do Amm.to concessioni, licenze, marchi e diritti simili",l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101060202,10101060202,acc_reg_101010602,"F.do Amm.to concessioni, licenze, marchi e diritti simili",l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_1010107,1010107,acc_reg_10101,Migliorie su beni di terzi (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_101010701,101010701,acc_reg_1010107,Migliorie su beni di terzi,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101070101,10101070101,acc_reg_101010701,Migliorie su beni di terzi,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_101010702,101010702,acc_reg_1010107,F.do Amm.to migliorie su beni di terzi,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101070202,10101070202,acc_reg_101010702,F.do Amm.to migliorie su beni di terzi,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_1010108,1010108,acc_reg_10101,Pubblicità (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_101010801,101010801,acc_reg_1010108,Pubblicità,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101080101,10101080101,acc_reg_101010801,Pubblicità,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_101010802,101010802,acc_reg_1010108,F.do Amm.to pubblicità,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101080202,10101080202,acc_reg_101010802,F.do Amm.to pubblicità,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_1010109,1010109,acc_reg_10101,Altre immobilizzazioni immateriali (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE,
acc_reg_101010901,101010901,acc_reg_1010109,Altre immobilizzazioni immateriali,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_10101090101,10101090101,acc_reg_101010901,Altre immobilizzazioni immateriali,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
acc_reg_101010902,101010902,acc_reg_1010109,F.do Amm.to altre immobilizzazioni immateriali,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE,
