id,code,parent_id/id,name,user_type/id,type,reconcile,child_consol_ids
acc_reg_0,0A,,CONTI DI EPILOGO,account.data_account_type_view,view,FALSE,
acc_reg_000,000,acc_reg_0,CONTI DI EPILOGO,account.data_account_type_view,view,FALSE,
acc_reg_00000,00000,acc_reg_000,CONTI DI EPILOGO,account.data_account_type_view,view,FALSE,
acc_reg_0000000,0000000,acc_reg_00000,Conti di epilogo,account.data_account_type_view,view,FALSE,
acc_reg_000000001,000000001,acc_reg_0000000,Stato Patrimoniale di apertura,account.data_account_type_view,view,FALSE,
acc_reg_00000000101,00000000101,acc_reg_000000001,Stato Patrimoniale di apertura,account.data_account_type_asset,other,FALSE,
acc_reg_000000002,000000002,acc_reg_0000000,Stato Patrimoniale di chiusura,account.data_account_type_view,view,FALSE,
acc_reg_00000000202,00000000202,acc_reg_000000002,Stato Patrimoniale di chiusura,account.data_account_type_asset,other,FALSE,
acc_reg_000000003,000000003,acc_reg_0000000,Conto Economico,account.data_account_type_view,view,FALSE,
acc_reg_00000000303,00000000303,acc_reg_000000003,Conto Economico,account.data_account_type_asset,other,FALSE,
acc_reg_1,1,acc_reg_0,ATTIVO,account.data_account_type_view,view,FALSE,
acc_reg_101,101,acc_reg_1,IMMOBILIZZAZIONI,account.data_account_type_view,view,FALSE,
acc_reg_10101,10101,acc_reg_101,IMMOBILIZZAZIONI IMMATERIALI,account.data_account_type_view,view,FALSE,
acc_reg_1010101,1010101,acc_reg_10101,Costi di impianto e di ampliamento (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101010101,101010101,acc_reg_1010101,Costi di impianto e di ampliamento,account.data_account_type_view,view,FALSE,AAA020
acc_reg_10101010101,10101010101,acc_reg_101010101,Costi di impianto e di ampliamento,account.data_account_type_asset,other,FALSE,
acc_reg_101010102,101010102,acc_reg_1010101,F.do Amm.to costi di impianto e di ampliamento,account.data_account_type_view,view,FALSE,AAA030
acc_reg_10101010202,10101010202,acc_reg_101010102,F.do Amm.to costi di impianto e di ampliamento,account.data_account_type_asset,other,FALSE,
acc_reg_1010102,1010102,acc_reg_10101,Costi di ricerca e sviluppo (al netto del F.do Amm.to),account.data_account_type_view,view,FALSE,
acc_reg_101010201,101010201,acc_reg_1010102,Costi di ricerca e sviluppo,account.data_account_type_view,view,FALSE,AAA050
acc_reg_10101020101,10101020101,acc_reg_101010201,Costi di ricerca e sviluppo,account.data_account_type_asset,other,FALSE,
acc_reg_101010202,101010202,acc_reg_1010102,F.do Amm.to costi di ricerca e sviluppo,account.data_account_type_view,view,FALSE,AAA060
acc_reg_10101020202,10101020202,acc_reg_101010202,F.do Amm.to costi di ricerca e sviluppo,account.data_account_type_asset,other,FALSE,
