id,code,parent_id/id,name,user_type/id,type,reconcile
acc_0,0,,CONTI DI EPILOGO,account_type_legalview1,view,TRUE
acc_000,000,0,CONTI DI EPILOGO,account_type_legalview1,view,TRUE
acc_00000,00000,000,CONTI DI EPILOGO,account_type_legalview1,view,TRUE
acc_000000000,000000000,0000000,Conti di epilogo,account_type_legalview1,view,TRUE
acc_000000001,000000001,0000000,Stato Patrimoniale di apertura,account_type_legalview3,consolidation,TRUE
acc_000000002,000000002,0000000,Stato Patrimoniale di chiusura,account_type_legalview3,consolidation,TRUE
acc_000000003,000000003,0000000,Conto Economico,account_type_legalview3,consolidation,TRUE
acc_100000000,100000000,1000000,ATTIVO,account_type_legalview1,view,TRUE
acc_101000000,101000000,1010000,IMMOBILIZZAZIONI,account_type_legalview1,view,TRUE
acc_101010000,101010000,1010100,IMMOBILIZZAZIONI IMMATERIALI,account_type_legalview1,view,TRUE
acc_101010100,101010100,1010101,Costi di impianto e di ampliamento (al netto del F.do Amm.to),account_type_legalview1,view,TRUE
acc_101010101,101010101,1010101,Costi di impianto e di ampliamento,account_type_legalview3,consolidation,TRUE
acc_101010102,101010102,1010101,F.do Amm.to costi di impianto e di ampliamento,account_type_legalview3,consolidation,TRUE
acc_101010200,101010200,1010102,Costi di ricerca e sviluppo (al netto del F.do Amm.to),account_type_legalview3,consolidation,TRUE
acc_101010201,101010201,1010102,Costi di ricerca e sviluppo,account_type_legalview3,consolidation,TRUE
acc_101010202,101010202,1010102,F.do Amm.to costi di ricerca e sviluppo,account_type_legalview3,consolidation,TRUE
acc_101010300,101010300,1010103,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca (al netto del F.do Amm.to),account_type_legalview1,view,TRUE
acc_101010301,101010301,1010103,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca,account_type_legalview3,consolidation,TRUE
acc_101010302,101010302,1010103,F.do Amm.to diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca,account_type_legalview3,consolidation,TRUE
acc_101010400,101010400,1010104,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri (al netto del F.do Amm.to),account_type_legalview1,view,TRUE
acc_101010401,101010401,1010104,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri,account_type_legalview3,consolidation,TRUE
acc_101010402,101010402,1010104,F.do Amm.to diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri,account_type_legalview3,consolidation,TRUE
acc_101010500,101010500,1010105,Immobilizzazioni immateriali in corso e acconti,account_type_legalview1,view,TRUE
acc_101010501,101010501,1010105,Immobilizzazioni immateriali in corso e acconti,account_type_legalview3,consolidation,TRUE
acc_101010600,101010600,1010106,"Concessioni, licenze, marchi e diritti simili (al netto del F.do Amm.to)",account_type_legalview1,view,TRUE
acc_101010601,101010601,1010106,"Concessioni, licenze, marchi e diritti simili",account_type_legalview3,consolidation,TRUE
acc_101010602,101010602,1010106,"F.do Amm.to concessioni, licenze, marchi e diritti simili",account_type_legalview3,consolidation,TRUE
acc_101010700,101010700,1010107,Migliorie su beni di terzi (al netto del F.do Amm.to),account_type_legalview1,view,TRUE
acc_101010701,101010701,1010107,Migliorie su beni di terzi,account_type_legalview3,consolidation,TRUE
acc_101010702,101010702,1010107,F.do Amm.to migliorie su beni di terzi,account_type_legalview3,consolidation,TRUE
acc_101010800,101010800,1010108,Pubblicità (al netto del F.do Amm.to),account_type_legalview1,view,TRUE
acc_101010801,101010801,1010108,Pubblicità,account_type_legalview3,consolidation,TRUE
acc_101010802,101010802,1010108,F.do Amm.to pubblicità,account_type_legalview3,consolidation,TRUE
acc_101010900,101010900,1010109,Altre immobilizzazioni immateriali (al netto del F.do Amm.to),account_type_legalview1,view,TRUE
acc_101010901,101010901,1010109,Altre immobilizzazioni immateriali,account_type_legalview3,consolidation,TRUE
acc_101010902,101010902,1010109,F.do Amm.to altre immobilizzazioni immateriali,account_type_legalview3,consolidation,TRUE
acc_101011000,101011000,1010110,F.do Svalut. Immobilizzazioni immaterali,account_type_legalview1,view,TRUE
acc_101011001,101011001,1010110,F.do Svalut. Costi di impianto e di ampliamento,account_type_legalview3,consolidation,TRUE
