id,code,parent_id/id,name,user_type/id,type,reconcile
acc_0,0,,CONTI DI EPILOGO,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_000,000,acc_0,CONTI DI EPILOGO,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_00000,00000,acc_000,CONTI DI EPILOGO,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_0000000,0000000,acc_00000,Conti di epilogo,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_000000001,000000001,acc_0000000,Stato Patrimoniale di apertura,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_000000002,000000002,acc_0000000,Stato Patrimoniale di chiusura,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_000000003,000000003,acc_0000000,Conto Economico,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1,1,acc_0,ATTIVO,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101,101,acc_1,IMMOBILIZZAZIONI,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_10101,10101,acc_101,IMMOBILIZZAZIONI IMMATERIALI,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_1010101,1010101,acc_10101,Costi di impianto e di ampliamento (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101010101,101010101,acc_1010101,Costi di impianto e di ampliamento,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101010102,101010102,acc_1010101,F.do Amm.to costi di impianto e di ampliamento,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010102,1010102,acc_10101,Costi di ricerca e sviluppo (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101010201,101010201,acc_1010102,Costi di ricerca e sviluppo,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101010202,101010202,acc_1010102,F.do Amm.to costi di ricerca e sviluppo,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010103,1010103,acc_10101,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101010301,101010301,acc_1010103,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101010302,101010302,acc_1010103,F.do Amm.to diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - derivanti dall'attività di ricerca,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010104,1010104,acc_10101,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101010401,101010401,acc_1010104,Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101010402,101010402,acc_1010104,F.do Amm.to diritti di brevetto e diritti di utilizzazione delle opere d'ingegno - altri,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010105,1010105,acc_10101,Immobilizzazioni immateriali in corso e acconti,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101010501,101010501,acc_1010105,Immobilizzazioni immateriali in corso e acconti,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010106,1010106,acc_10101,"Concessioni, licenze, marchi e diritti simili (al netto del F.do Amm.to)",l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101010601,101010601,acc_1010106,"Concessioni, licenze, marchi e diritti simili",l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101010602,101010602,acc_1010106,"F.do Amm.to concessioni, licenze, marchi e diritti simili",l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010107,1010107,acc_10101,Migliorie su beni di terzi (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101010701,101010701,acc_1010107,Migliorie su beni di terzi,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101010702,101010702,acc_1010107,F.do Amm.to migliorie su beni di terzi,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010108,1010108,acc_10101,Pubblicità (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101010801,101010801,acc_1010108,Pubblicità,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101010802,101010802,acc_1010108,F.do Amm.to pubblicità,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010109,1010109,acc_10101,Altre immobilizzazioni immateriali (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101010901,101010901,acc_1010109,Altre immobilizzazioni immateriali,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101010902,101010902,acc_1010109,F.do Amm.to altre immobilizzazioni immateriali,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010110,1010110,acc_10101,F.do Svalut. Immobilizzazioni immaterali,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101011001,101011001,acc_1010110,F.do Svalut. Costi di impianto e di ampliamento,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101011002,101011002,acc_1010110,F.do Svalut. Costi di ricerca e sviluppo,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101011003,101011003,acc_1010110,F.do Svalut. Diritti di brevetto e diritti di utilizzazione delle opere d'ingegno,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101011004,101011004,acc_1010110,F.do Svalut. Altre immobilizzazioni immateriali,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_10102,10102,acc_101,IMMOBILIZZAZIONI MATERIALI,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_1010201,1010201,acc_10102,Terreni,l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101020101,101020101,acc_1010201,Terreni disponibili,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101020102,101020102,acc_1010201,Terreni indisponibili,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010202,1010202,acc_10102,Fabbricati disponibili non strumentali (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101020201,101020201,acc_1010202,Fabbricati non strumentali (disponibili),l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101020202,101020202,acc_1010202,F.do Amm.to Fabbricati non strumentali (disponibili),l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010203,1010203,acc_10102,Fabbricati indisponibili strumentali (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101020301,101020301,acc_1010203,Fabbricati strumentali (indisponibili),l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101020302,101020302,acc_1010203,F.do Amm.to Fabbricati strumentali (indisponibili),l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010204,1010204,acc_10102,Impianti e macchinari (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101020401,101020401,acc_1010204,Impianti sanitari,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101020402,101020402,acc_1010204,Fondo ammortamento impianti sanitari,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101020403,101020403,acc_1010204,Impianti generici,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101020404,101020404,acc_1010204,Fondo ammortamento impianti generici,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101020405,101020405,acc_1010204,Macchinari sanitari,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101020406,101020406,acc_1010204,Fondo ammortamento macchinari sanitari,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101020407,101020407,acc_1010204,Macchinari generici,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101020408,101020408,acc_1010204,Fondo ammortamento macchinari generici,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_101020409,101020409,acc_1010204,Impianti e macchinari < 516 euro,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
acc_1010205,1010205,acc_10102,Attrezzature sanitarie e scientifiche (al netto del F.do Amm.to),l10n_it_CEE_balance_generic.account_type_legalview1,view,TRUE
acc_101020501,101020501,acc_1010205,Attrezzature sanitarie e scientifiche,l10n_it_CEE_balance_generic.account_type_legalview3,consolidation,TRUE
