id,ea_id:id,nace_parent_id:id
1_nace_01,ea_1,l10n_eu_nace.nace_01
1_nace_02,ea_1,l10n_eu_nace.nace_02
1_nace_03,ea_1,l10n_eu_nace.nace_03
2_nace_05,ea_2,l10n_eu_nace.nace_05
2_nace_06,ea_2,l10n_eu_nace.nace_06
2_nace_07,ea_2,l10n_eu_nace.nace_07
2_nace_08,ea_2,l10n_eu_nace.nace_08
2_nace_09,ea_2,l10n_eu_nace.nace_09
3_nace_10,ea_3,l10n_eu_nace.nace_10
3_nace_11,ea_3,l10n_eu_nace.nace_11
3_nace_12,ea_3,l10n_eu_nace.nace_12
4_nace_13,ea_4,l10n_eu_nace.nace_13
4_nace_14,ea_4,l10n_eu_nace.nace_14
5_nace_15,ea_5,l10n_eu_nace.nace_15
6_nace_16,ea_6,l10n_eu_nace.nace_16
7_nace_17,ea_7,l10n_eu_nace.nace_17
8_nace_58_1,ea_8,l10n_eu_nace.nace_58_1
8_nace_59_2,ea_8,l10n_eu_nace.nace_59_2
9_nace_18,ea_9,l10n_eu_nace.nace_18
10_nace_19,ea_10,l10n_eu_nace.nace_19
11_nace_24_46,ea_11,l10n_eu_nace.nace_24_46
12_nace_20,ea_12,l10n_eu_nace.nace_20
13_nace_21,ea_13,l10n_eu_nace.nace_21
14_nace_22,ea_14,l10n_eu_nace.nace_22
15_nace_23_1,ea_15,l10n_eu_nace.nace_23_1
15_nace_23_2,ea_15,l10n_eu_nace.nace_23_2
15_nace_23_3,ea_15,l10n_eu_nace.nace_23_3
15_nace_23_4,ea_15,l10n_eu_nace.nace_23_4
15_nace_23_7,ea_15,l10n_eu_nace.nace_23_7
15_nace_23_9,ea_15,l10n_eu_nace.nace_23_9
16_nace_23_5,ea_16,l10n_eu_nace.nace_23_5
16_nace_23_6,ea_16,l10n_eu_nace.nace_23_6
17_nace_24_1,ea_17,l10n_eu_nace.nace_24_1
17_nace_24_2,ea_17,l10n_eu_nace.nace_24_2
17_nace_24_3,ea_17,l10n_eu_nace.nace_24_3
17_nace_24_41,ea_17,l10n_eu_nace.nace_24_41
17_nace_24_42,ea_17,l10n_eu_nace.nace_24_42
17_nace_24_43,ea_17,l10n_eu_nace.nace_24_43
17_nace_24_44,ea_17,l10n_eu_nace.nace_24_44
17_nace_24_45,ea_17,l10n_eu_nace.nace_24_45
17_nace_24_5,ea_17,l10n_eu_nace.nace_24_5
17_nace_25_1,ea_17,l10n_eu_nace.nace_25_1
17_nace_25_2,ea_17,l10n_eu_nace.nace_25_2
17_nace_25_3,ea_17,l10n_eu_nace.nace_25_3
17_nace_25_5,ea_17,l10n_eu_nace.nace_25_5
17_nace_25_6,ea_17,l10n_eu_nace.nace_25_6
17_nace_25_7,ea_17,l10n_eu_nace.nace_25_7
17_nace_25_9,ea_17,l10n_eu_nace.nace_25_9
17_nace_33_11,ea_17,l10n_eu_nace.nace_33_11
18_nace_25_4,ea_18,l10n_eu_nace.nace_25_4
18_nace_28,ea_18,l10n_eu_nace.nace_28
18_nace_30_4,ea_18,l10n_eu_nace.nace_30_4
18_nace_33_12,ea_18,l10n_eu_nace.nace_33_12
18_nace_33_2,ea_18,l10n_eu_nace.nace_33_2
19_nace_26,ea_19,l10n_eu_nace.nace_26
19_nace_27,ea_19,l10n_eu_nace.nace_27
19_nace_33_13,ea_19,l10n_eu_nace.nace_33_13
19_nace_33_14,ea_19,l10n_eu_nace.nace_33_14
19_nace_95_1,ea_19,l10n_eu_nace.nace_95_1
20_nace_30_1,ea_20,l10n_eu_nace.nace_30_1
20_nace_33_15,ea_20,l10n_eu_nace.nace_33_15
21_nace_30_3,ea_21,l10n_eu_nace.nace_30_3
21_nace_33_16,ea_21,l10n_eu_nace.nace_33_16
22_nace_29,ea_22,l10n_eu_nace.nace_29
22_nace_30_2,ea_22,l10n_eu_nace.nace_30_2
22_nace_30_9,ea_22,l10n_eu_nace.nace_30_9
22_nace_33_17,ea_22,l10n_eu_nace.nace_33_17
23_nace_31,ea_23,l10n_eu_nace.nace_31
23_nace_32,ea_23,l10n_eu_nace.nace_32
23_nace_33_19,ea_23,l10n_eu_nace.nace_33_19
24_nace_38_3,ea_24,l10n_eu_nace.nace_38_3
25_nace_35_1,ea_25,l10n_eu_nace.nace_35_1
26_nace_35_2,ea_26,l10n_eu_nace.nace_35_2
27_nace_35_3,ea_27,l10n_eu_nace.nace_35_3
27_nace_36,ea_27,l10n_eu_nace.nace_36
28_nace_41,ea_28,l10n_eu_nace.nace_41
28_nace_42,ea_28,l10n_eu_nace.nace_42
28_nace_43,ea_28,l10n_eu_nace.nace_43
29_nace_45,ea_29,l10n_eu_nace.nace_45
29_nace_46,ea_29,l10n_eu_nace.nace_46
29_nace_47,ea_29,l10n_eu_nace.nace_47
29_nace_95_2,ea_29,l10n_eu_nace.nace_95_2
30_nace_55,ea_30,l10n_eu_nace.nace_55
30_nace_56,ea_30,l10n_eu_nace.nace_56
31_nace_49,ea_31,l10n_eu_nace.nace_49
31_nace_50,ea_31,l10n_eu_nace.nace_50
31_nace_51,ea_31,l10n_eu_nace.nace_51
31_nace_52,ea_31,l10n_eu_nace.nace_52
31_nace_53,ea_31,l10n_eu_nace.nace_53
31_nace_61,ea_31,l10n_eu_nace.nace_61
32_nace_64,ea_32,l10n_eu_nace.nace_64
32_nace_65,ea_32,l10n_eu_nace.nace_65
32_nace_66,ea_32,l10n_eu_nace.nace_66
32_nace_68,ea_32,l10n_eu_nace.nace_68
32_nace_77,ea_32,l10n_eu_nace.nace_77
33_nace_58_2,ea_33,l10n_eu_nace.nace_58_2
33_nace_62,ea_33,l10n_eu_nace.nace_62
33_nace_63_1,ea_33,l10n_eu_nace.nace_63_1
34_nace_71,ea_34,l10n_eu_nace.nace_71
34_nace_72,ea_34,l10n_eu_nace.nace_72
34_nace_74_1,ea_34,l10n_eu_nace.nace_74_1
34_nace_74_9,ea_34,l10n_eu_nace.nace_74_9
35_nace_69,ea_35,l10n_eu_nace.nace_69
35_nace_70,ea_35,l10n_eu_nace.nace_70
35_nace_73,ea_35,l10n_eu_nace.nace_73
35_nace_74_2,ea_35,l10n_eu_nace.nace_74_2
35_nace_74_3,ea_35,l10n_eu_nace.nace_74_3
35_nace_78,ea_35,l10n_eu_nace.nace_78
35_nace_80,ea_35,l10n_eu_nace.nace_80
35_nace_81,ea_35,l10n_eu_nace.nace_81
35_nace_82,ea_35,l10n_eu_nace.nace_82
36_nace_84,ea_36,l10n_eu_nace.nace_84
37_nace_85,ea_37,l10n_eu_nace.nace_85
38_nace_75,ea_38,l10n_eu_nace.nace_75
38_nace_86,ea_38,l10n_eu_nace.nace_86
38_nace_87,ea_38,l10n_eu_nace.nace_87
38_nace_88,ea_38,l10n_eu_nace.nace_88
39_nace_37,ea_39,l10n_eu_nace.nace_37
39_nace_38_1,ea_39,l10n_eu_nace.nace_38_1
39_nace_38_2,ea_39,l10n_eu_nace.nace_38_2
39_nace_39,ea_39,l10n_eu_nace.nace_39
39_nace_59_1,ea_39,l10n_eu_nace.nace_59_1
39_nace_60,ea_39,l10n_eu_nace.nace_60
39_nace_63_9,ea_39,l10n_eu_nace.nace_63_9
39_nace_79,ea_39,l10n_eu_nace.nace_79
39_nace_90,ea_39,l10n_eu_nace.nace_90
39_nace_91,ea_39,l10n_eu_nace.nace_91
39_nace_92,ea_39,l10n_eu_nace.nace_92
39_nace_93,ea_39,l10n_eu_nace.nace_93
39_nace_94,ea_39,l10n_eu_nace.nace_94
39_nace_96,ea_39,l10n_eu_nace.nace_96
